Codigo,Nome,Sigla,Grau
8309,Mestrado Integrado em Engenharia Electrónica e Telecomunicações,ET,Integrated Master's
8321,Licenciatura em Engenharia Eletrotécnica e de Computadores,LEEC,Bachelor's
8316,Licenciatura em Engenharia de Computadores e Informática,LECI,Bachelor's
8295,Licenciatura em Engenharia Informática,LEI,Bachelor's
8327,Licenciatura em Engenharia Aeroespacial,LEA,Bachelor's
9295,Mestrado em Engenharia Eletrónica e Telecomunicações,MEET,Master's
9291,Mestrado em Engenharia de Computadores e Telemática,MECT,Master's
9263,Mestrado em Engenharia Informática,MEI,Master's
9163,Mestrado em Engenharia de Automação Industrial,MEAI,Master's
9283,Mestrado em Robótica e Sistemas Inteligentes,MRSI,Master's
9281,Mestrado em Cibersegurança,Ciber,Master's
9294,Mestrado em Engenharia Computacional,Computacional,Master's
