Codigo,Sigla,Nome,Regente,sigla_grau,icursocod,nvcepocaexame
40148,MCE,Música Criatividade e Educação,Aoife Hiney,MI,8309,1º SEMESTRE
40332,ISD,Introdução aos Sistemas Digitais,Iouliia Skliarova,L1,"[8240, 8309, 8295, 8316, 8321]",1º SEMESTRE
40333,LSD,Laboratório de Sistemas Digitais,Adão Paulo Soares da Silva,L1,"[8240, 8309, 8295, 8316, 8321]",2º SEMESTRE
40633,FA,Finanças Aplicadas,Joaquim Carlos da Costa Pinho,MI,8240,1º SEMESTRE
40655,TPE,Teorias e Práticas de Educação,José Alexandre da Rocha Ventura Silva,M2,9163,1º SEMESTRE
40692,LCI,Língua e Cultura Inglesa,Maria Sofia Pimentel Biscaia,MI,"[8309, 9263]",1º SEMESTRE
40715,MC-I,Matemática Complementar I,Andreia Oliveira Hall,MI,8309,1º SEMESTRE
40379,FP,Fundamentos de Programação,João Manuel de Oliveira e Silva Rodrigues,L1,"[8295, 8316, 8240]",1º SEMESTRE
40380,ITW,Introdução Às Tecnologias Web,Joaquim Manuel Henriques de Sousa Pinto,L1,8295,1º SEMESTRE
40381,SO,Sistemas Operativos,Ivan Miguel Serrano Pires,L1,8295,1º SEMESTRE
40382,CD,Computação Distribuída,Diogo Nuno Pereira Gomes,L1,"[8295, 8316, 8240]",2º SEMESTRE
40383,PDS,Padrões e Desenho de Software,José Luis Guimarães Oliveira,L1,"[8295, 8316, 8240]",2º SEMESTRE
40384,IES,Introdução à Engenharia de Software,João Rafael Duarte de Almeida,L1,8295,1º SEMESTRE
40385,CBD,Complementos de Bases de Dados,Carlos Manuel Azevedo Costa,L1,8295,1º SEMESTRE
40386,APSEI,Aspetos Profissionais e Sociais da Engenharia Informática,Rui Luís Andrade Aguiar,L1,8295,2º SEMESTRE
40387,PI,Projeto em Informática,Osvaldo Manuel da Rocha Pacheco,L1,8295,2º SEMESTRE
40430,AA,Aprendizagem Automática,Petia Georgieva Georgieva,M2,9283,2º SEMESTRE
40431,MAS,Modelação e Análise de Sistemas,Ilídio Fernando de Castro Oliveira,L1,"[8295, 8316]",1º SEMESTRE
40432,SM,Sistemas Multimédia,José Manuel Neto Vieira,L1,8295,1º SEMESTRE
40433,RS,Redes e Serviços,António Manuel Duarte Nogueira,L1,8295,1º SEMESTRE
40436,POO,Programação Orientada a Objetos,Vítor António Gonçalves Ribeiro da Cunha,MI,"[8295, 8316, 8240]",2º SEMESTRE
40437,AED,Algoritmos e Estruturas de Dados,Joaquim João Estrela Ribeiro Silvestre Madeira,L1,"[8295, 8316, 8321, 8240]",1º SEMESTRE
40529,ES,Envelhecimento e Sociedade,Daniela Maria Pias de Figueiredo,M2,9281,1º SEMESTRE
40534,TAA,Tópicos de Aprendizagem Automática,Susana Manuela Martinho dos Santos Baía Brás,L1,8295,2º SEMESTRE
40551,TPW,Tecnologias e Programação Web,Helder Troca Zagalo,L1,8295,1º SEMESTRE
